

Ente;Liste/Gruppi;Voti;
ROSORA;PARTITO DEMOCRATICO;455;;
ROSORA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;246;;
ROSORA;FORZA ITALIA;107;;
ROSORA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;32;;
ROSORA;L'ALTRA EUROPA CON TSIPRAS;24;;
ROSORA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;21;;
ROSORA;NUOVO CENTRO DESTRA - UDC;19;;
ROSORA;SCELTA EUROPEA;6;;
ROSORA;ITALIA DEI VALORI;5;;
ROSORA;VERDI EUROPEI-GREEN ITALIA;4;;
ROSORA;IO CAMBIO - MAIE;2;;
SAN MARCELLO;PARTITO DEMOCRATICO;733;;
SAN MARCELLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;260;;
SAN MARCELLO;FORZA ITALIA;123;;
SAN MARCELLO;L'ALTRA EUROPA CON TSIPRAS;54;;
SAN MARCELLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;39;;
SAN MARCELLO;NUOVO CENTRO DESTRA - UDC;27;;
SAN MARCELLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;25;;
SAN MARCELLO;ITALIA DEI VALORI;14;;
SAN MARCELLO;SCELTA EUROPEA;11;;
SAN MARCELLO;VERDI EUROPEI-GREEN ITALIA;11;;
SAN MARCELLO;IO CAMBIO - MAIE;6;;
SAN PAOLO DI JESI;PARTITO DEMOCRATICO;272;;
SAN PAOLO DI JESI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;111;;
SAN PAOLO DI JESI;FORZA ITALIA;59;;
